FileName :   BLA2013_01G(B)_pts.qtiDat 
Signal(s) Used :  Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka, Al Ka, Ca Ka, Mn Ka, Ni Ka 
Spectromers Conditions :   Sp4 TAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp2 PET,  Sp5 LIF,  Sp4 TAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058) 
Column Conditions :  Cond 1 : 15keV 20nA , Cond 2 : 15keV 60nA  
 	Cond 1 : Mg Ka, Si Ka, P  Ka, Fe Ka, Ti Ka, Cr Ka 
 	Cond 2 : Al Ka, Ca Ka, Mn Ka, Ni Ka 
Date :  11-Nov-2013 
User Name :  sx 
Setup Name :  lucy_ol_8nov2013.qtiSet 
DataSet Comment :  BLA2013_01G(B)_ol1 
Comment :   
Analysis Date :  09/11/2013 19:09:29 
Project Name :  Lucy Tweed 
Sample Name :  8 Nov 2013 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Mg Ka)	1310	2759	3	2074	2433	Inte	 
  Sp1(Si Ka)	1296	2612	3	2008	2194	Inte	 
  Sp3(P  Ka)	1827	815	3	560	791	Inte	 
  Sp5(Fe Ka)	1820	361	3	1007	399	Inte	 
  Sp2(Ti Ka)	1302	897	3	890	2548	Inte	 
  Sp5(Cr Ka)	1819	359	3	1007	399	Inte	 
  Sp4(Al Ka)	1310	2759	3	2074	2433	Inte	 
  Sp3(Ca Ka)	1827	815	3	560	791	Inte	 
  Sp5(Mn Ka)	1820	361	3	1007	399	Inte	 
  Sp5(Ni Ka)	1820	361	3	1007	399	Inte 
Peak Position :   Sp4 38514 (-500, 500),  Sp1 27742 (-500, 300),  Sp3 70305 (-700, 600),  Sp5 48082 (-250, 300),  Sp2 31427 (-350, 250),  Sp5 56882 (-250, 300),  Sp4 32471 (-500, 500),  Sp3 38386 (-300, 250),  Sp5 52202 (200, 1.0221),  Sp5 41163 (-250, 300) 
Current Sample Position :   X = -13276 Y = 7118 Z = 16 
Standard Name :   
 Mg On Olivine (St. Johns) 
 Si, Ca On Diopside 
 P  On Apatite 
 Fe On Fayalite 
 Ti On Rutile 
 Cr On Cr 
 Al On Cor 
 Mn On Mn 
 Ni On NiO 
Standard composition :   
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Cor = O  : 47.1%, Al : 52.9% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
Calibration file name :   
 Mg : Olivine (St. Johns)_Mg_Mg018.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca021.calDat 
 P  : Apatite_P_P009.calDat 
 Fe : Fayalite_Fe258.calDat 
 Ti : Rutile_Ti_Ti031.calDat 
 Cr : Cr_Cr_Cr004.calDat 
 Al : Cor_Al_Al019.calDat 
 Mn : Mn_Mn266.calDat 
 Ni : NiO_Ni066.calDat 
Beam Size :  1, 1 µm 

DataSet/Point	MgO	SiO2	P2O5	FeO	TiO2	Cr2O3	Al2O3	CaO	MnO	NiO	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	44.6728	40.2401	0.0070	14.9512	0.0250	0.0646	0.0623	0.3101	0.2012	0.2834	100.8177	-13276.	7118.	16.	BLA2013_01G(B)_ol1	0.	 1	09/11/2013 19:09:29	
2 / 1 . 	44.1269	40.2006	0.0076	15.1694	0.0164	0.0585	0.0692	0.3021	0.1854	0.2728	100.4089	-13276.	6978.	16.	BLA2013_01G(B)_ol1	140.	 2	09/11/2013 19:17:55	
3 / 1 . 	44.3252	40.1921	0.0113	14.8161	0.0090	0.0961	0.0654	0.3043	0.2279	0.2573	100.3049	-13159.	6978.	16.	BLA2013_01G(B)_ol1	182.45	 3	09/11/2013 19:26:26	
4 / 1 . 	47.1118	40.9284	0.0000	11.3139	0.0080	0.0945	0.1233	0.3537	0.1730	0.3095	100.4161	-11003.	7073.	-7.	BLA2013_01G(B)_ol2	2273.56	 4	09/11/2013 19:34:54	
5 / 1 . 	47.4007	41.0187	0.0063	11.3534	0.0106	0.0859	0.1105	0.3600	0.1851	0.3154	100.8464	-11003.	7181.	-7.	BLA2013_01G(B)_ol2	2273.99	 5	09/11/2013 19:43:20	
6 / 1 . 	47.2518	40.9904	0.0097	11.4725	0.0000	0.0888	0.1205	0.3745	0.1678	0.3091	100.7850	-10913.	7294.	-7.	BLA2013_01G(B)_ol2	2369.66	 6	09/11/2013 19:51:46	
7 / 1 . 	46.0817	40.7169	0.0204	12.8029	0.0028	0.0515	0.0548	0.3071	0.2028	0.2245	100.4655	-8768.	7294.	-32.	BLA2013_01G(B)_ol3	4511.69	 7	09/11/2013 20:00:15	
8 / 1 . 	46.1070	40.6119	0.0032	12.8347	0.0000	0.0672	0.0584	0.3161	0.2129	0.2004	100.4117	-8768.	7489.	-29.	BLA2013_01G(B)_ol3	4523.46	 8	09/11/2013 20:08:44	
9 / 1 . 	46.1214	40.5800	0.0189	13.1839	0.0083	0.0160	0.0626	0.3012	0.1877	0.2013	100.6813	-8991.	7489.	-27.	BLA2013_01G(B)_ol3	4301.25	 9	09/11/2013 20:17:10	
10 / 1 . 	47.0760	40.8852	0.0000	11.8351	0.0080	0.1102	0.0712	0.3084	0.1489	0.3052	100.7482	-5368.	4746.	-81.	BLA2013_01G(B)_ol4	8256.65	 10	09/11/2013 20:25:38	
11 / 1 . 	46.9313	40.9147	0.0000	11.7731	0.0034	0.0687	0.0855	0.3130	0.1686	0.3239	100.5822	-5368.	4822.	-82.	BLA2013_01G(B)_ol4	8235.15	 11	09/11/2013 20:34:04	
12 / 1 . 	46.7980	40.6536	0.0131	12.0433	0.0000	0.1313	0.0846	0.3299	0.1682	0.3066	100.5286	-5627.	4804.	-77.	BLA2013_01G(B)_ol4	7991.9	 12	09/11/2013 20:42:39	
13 / 1 . 	45.4696	40.5979	0.0105	13.3023	0.0000	0.0041	0.0860	0.3025	0.2049	0.2614	100.2391	-8341.	4428.	-49.	BLA2013_01G(B)_ol5	5620.9	 13	09/11/2013 20:51:06	
14 / 1 . 	45.5360	40.5383	0.0112	13.3848	0.0109	0.0618	0.0674	0.3177	0.2018	0.2366	100.3664	-8170.	4395.	-51.	BLA2013_01G(B)_ol5	5787.09	 14	09/11/2013 20:59:33	
15 / 1 . 	45.5983	40.6453	0.0144	12.8994	0.0131	0.0712	0.0628	0.3093	0.1842	0.2607	100.0588	-8188.	4577.	-50.	BLA2013_01G(B)_ol5	5687.6	 15	09/11/2013 21:08:00	
16 / 1 . 	47.1117	40.7427	0.0145	11.8123	0.0000	0.0713	0.0818	0.3014	0.1701	0.3261	100.6320	-10850.	3784.	-24.	BLA2013_01G(B)_ol6	4123.43	 16	09/11/2013 21:16:28	
17 / 1 . 	46.8272	41.0257	0.0000	12.0773	0.0000	0.1177	0.0731	0.3109	0.1606	0.3172	100.9097	-10610.	3784.	-28.	BLA2013_01G(B)_ol6	4269.08	 17	09/11/2013 21:24:56	
18 / 1 . 	46.9844	40.8767	0.0046	11.9611	0.0000	0.0605	0.0699	0.2987	0.1806	0.3088	100.7453	-10610.	3952.	-27.	BLA2013_01G(B)_ol6	4139.2	 18	09/11/2013 21:33:27	
